127.0.0.1 - - [14/Jun/2018:14:42:19 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:19 -0500] "GET /ProjectTemplate/javascript HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:19 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:35 -0500] "GET /ProjectTemplate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:35 -0500] "GET /ProjectTemplate/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:35 -0500] "GET /ProjectTemplate/login/ HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:46 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:47 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 5561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:48 -0500] "GET /ProjectTemplate/app/milestones HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:48 -0500] "GET /ProjectTemplate/app/milestones HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:50 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 5561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:42:51 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:47:56 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:47:57 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:47:57 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 5561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:52:01 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [14/Jun/2018:14:56:28 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:05:44 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:08:17 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:09:22 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6296
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:09:23 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/internsAppStore.js?LOCAL HTTP/1.1" 200 6578
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:15:17 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:15:29 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:15:32 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:16:01 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:16:09 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:16:23 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:16:30 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:17:35 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:17:58 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:18:00 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:18:16 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:18:57 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:18:59 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:20:03 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:20:37 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:20:46 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:03 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:07 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:08 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:11 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:12 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:20 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:21 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:22 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:23 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:23 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:24 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:25 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:29 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:30 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:31 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:31 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:48 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:51 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:52 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:55 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:57 -0500] "GET /ProjectTemplate/editIntern.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:21:57 -0500] "GET /ProjectTemplate/login/ HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:22:00 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:22:02 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:22:05 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:22:06 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:16 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:25 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:27 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:35 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:36 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:36 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:36 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:31:38 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:46:37 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6158
0:0:0:0:0:0:0:1 - - [14/Jun/2018:15:46:49 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6158
