127.0.0.1 - - [20/Jun/2018:16:47:19 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:47:27 -0500] "GET /ProjectTemplate/javascript HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:47:27 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/example.js?LOCAL HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:47:35 -0500] "GET /ProjectTemplate/javascriptapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:47:35 -0500] "GET /ProjectTemplate/login/ HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:47:43 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:47:45 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 7394
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:57 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 7348
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/css/master.css?build=LOCAL HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/css/oreillybs-dojo-r13.min.css HTTP/1.1" 200 114268
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/css/oreillybs-3.3.5r2.min.css HTTP/1.1" 200 128404
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/js/dojo/dojo-common.js?build=LOCAL HTTP/1.1" 200 669584
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/js/dojo/nls/dojo-common_ROOT.js?LOCAL HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-small.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/img/chosen-sprite.png HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-dark.gif HTTP/1.1" 200 2415
