0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:01 -0500] "GET /ProjectTemplate/resources/js/dgrid/css/extensions/Pagination.css?LOCAL HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:01 -0500] "GET /ProjectTemplate/resources/js/dgrid/css/extensions/CompoundColumns.css?LOCAL HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:01 -0500] "GET /ProjectTemplate/resources/css/images/checkmark.png HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:01 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:05 -0500] "GET /ProjectTemplate/lastFm HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:11 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:16 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:21 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:26 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:31 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:36 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:41 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:46 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:51 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:02:56 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:01 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:06 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:11 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:16 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:21 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:26 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:31 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:36 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:41 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:46 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Aug/2018:16:03:51 -0500] "GET /ProjectTemplate/lastFm/getLastFm HTTP/1.1" 200 197
